GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2002,2002,2002,SEAR,South-East Asia,IND,India,,,,30.0,30 [15-88],15.0,88.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2012,2012,2012,SEAR,South-East Asia,IND,India,,,,74.0,74,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2007,2007,2007,SEAR,South-East Asia,IND,India,,,,65.0,65,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,77.0,77,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2019,2019,2019,SEAR,South-East Asia,IND,India,,,,2.6,2.6,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2016,2016,2016,SEAR,South-East Asia,IND,India,,,,58.0,58 [50-69],50.0,69.0
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2005,2005,2005,SEAR,South-East Asia,IND,India,,,,2.3,2.3,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2013,2013,2013,SEAR,South-East Asia,IND,India,,,,39.0,39 [25-68],25.0,68.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2004,2004,2004,SEAR,South-East Asia,IND,India,,,,1136182.0,1 136 182,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2022,2022,2022,SEAR,South-East Asia,IND,India,,,,79.0,79,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2010,2010,2010,SEAR,South-East Asia,IND,India,,,,39.0,39 [21-95],21.0,95.0
